Cuisine,Dish Name,Ingredients,Procedure
Hungarian,Goulash,"beef, onions, paprika, tomatoes, potatoes, garlic, caraway seeds, salt, pepper, oil","Brown beef with onions and garlic, add paprika and tomatoes, then simmer with potatoes until tender."
Tajik,Tajik Specialty,"Tajik spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Tajik spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Lithuanian,Lithuanian Specialty,"Lithuanian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Lithuanian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Venezuelan,Venezuelan Specialty,"Venezuelan spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Venezuelan spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Ukrainian,Borscht,"beets, cabbage, potatoes, carrots, tomatoes, onions, garlic, dill, vinegar, salt, pepper","Boil vegetables in a savory broth, add vinegar and dill, then simmer until tender. Serve hot with a dollop of sour cream."
Laotian,Laotian Specialty,"Laotian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Laotian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Sri Lankan,Sri Lankan Specialty,"Sri Lankan spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Sri Lankan spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
British,Bangers and Mash,"sausages, potatoes, butter, milk, onions, salt, pepper","Cook sausages until browned. Boil potatoes and mash with butter and milk, then top with sautéed onions."
Laotian,Laotian Specialty,"Laotian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Laotian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Pakistani,Pakistani Specialty,"Pakistani spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Pakistani spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Chinese,Kung Pao Chicken,"chicken, peanuts, dried chili peppers, Sichuan peppercorns, soy sauce, vinegar, sugar, garlic, ginger, scallions, cornstarch, oil","Marinate chicken with soy sauce and cornstarch. Stir-fry garlic, ginger, and chili peppers, add chicken and a sauce of vinegar and sugar, then toss in peanuts until thickened."
Australian,Australian Specialty,"Australian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Australian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Egyptian,Koshari,"rice, lentils, pasta, chickpeas, tomato sauce, onions, garlic, vinegar, cumin, salt, pepper","Cook rice, lentils, and pasta separately. Prepare a spiced tomato sauce with onions and garlic, then layer ingredients and top with crispy fried onions."
Bangladeshi,Bangladeshi Specialty,"Bangladeshi spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Bangladeshi spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Nigerian,Nigerian Specialty,"Nigerian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Nigerian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Ethiopian,Doro Wat,"chicken, onions, garlic, ginger, berbere spice, tomato paste, hard-boiled eggs, oil, salt, pepper","Slow-cook onions until caramelized, add garlic, ginger, and berbere spice. Stir in chicken and tomato paste, then simmer and add boiled eggs."
Scandinavian,Gravlax,"salmon, salt, sugar, dill, white pepper","Cure salmon with a mixture of salt, sugar, dill, and white pepper for several days. Slice thinly and serve with mustard sauce."
Colombian,Ajiaco,"chicken, potatoes, corn, guasca, cream, capers, avocado, garlic, salt, pepper","Simmer chicken and a mix of potatoes with garlic and guasca until tender. Serve with cream, capers, and avocado."
Swiss,Fondue,"Gruyère cheese, Emmental cheese, white wine, garlic, cornstarch, kirsch, bread, salt, pepper","Melt cheeses with white wine and garlic, then stir in cornstarch mixed with kirsch. Serve with cubes of bread for dipping."
Japanese,Ramen,"ramen noodles, chicken broth, soy sauce, miso, garlic, ginger, scallions, pork slices, boiled egg","Simmer broth with soy, miso, garlic, and ginger. Cook noodles separately, then assemble with pork slices, boiled egg, and scallions."
Japanese,Ramen,"ramen noodles, chicken broth, soy sauce, miso, garlic, ginger, scallions, pork slices, boiled egg","Simmer broth with soy, miso, garlic, and ginger. Cook noodles separately, then assemble with pork slices, boiled egg, and scallions."
Sri Lankan,Sri Lankan Specialty,"Sri Lankan spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Sri Lankan spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Scandinavian,Gravlax,"salmon, salt, sugar, dill, white pepper","Cure salmon with a mixture of salt, sugar, dill, and white pepper for several days. Slice thinly and serve with mustard sauce."
Venezuelan,Venezuelan Specialty,"Venezuelan spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Venezuelan spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Malaysian,Nasi Lemak,"rice, coconut milk, pandan leaves, anchovies, peanuts, boiled egg, sambal, cucumber, salt","Cook rice in coconut milk with pandan leaves. Fry anchovies and peanuts. Serve rice with boiled egg, sambal, and cucumber slices."
Egyptian,Koshari,"rice, lentils, pasta, chickpeas, tomato sauce, onions, garlic, vinegar, cumin, salt, pepper","Cook rice, lentils, and pasta separately. Prepare a spiced tomato sauce with onions and garlic, then layer ingredients and top with crispy fried onions."
Azerbaijani,Azerbaijani Specialty,"Azerbaijani spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Azerbaijani spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Croatian,Croatian Specialty,"Croatian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Croatian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Mongolian,Mongolian Specialty,"Mongolian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Mongolian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
French,Ratatouille,"eggplant, zucchini, bell peppers, tomatoes, onions, garlic, olive oil, thyme, basil, salt, pepper","Slice vegetables evenly, sauté onions and garlic in olive oil, add vegetables and herbs, and simmer until tender."
Bulgarian,Bulgarian Specialty,"Bulgarian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Bulgarian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Uzbek,Uzbek Specialty,"Uzbek spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Uzbek spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Swedish,Swedish Meatballs,"ground beef, ground pork, breadcrumbs, egg, onions, cream, allspice, salt, pepper, butter","Mix meats with breadcrumbs, egg, and spices. Form small meatballs, fry until browned, and serve with a creamy sauce."
Hungarian,Goulash,"beef, onions, paprika, tomatoes, potatoes, garlic, caraway seeds, salt, pepper, oil","Brown beef with onions and garlic, add paprika and tomatoes, then simmer with potatoes until tender."
Latvian,Latvian Specialty,"Latvian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Latvian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Libyan,Libyan Specialty,"Libyan spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Libyan spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Nepalese,Nepalese Specialty,"Nepalese spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Nepalese spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Russian,Borscht,"beets, cabbage, carrots, potatoes, tomatoes, onions, garlic, dill, vinegar, salt, pepper",Boil vegetables in beef or vegetable broth with vinegar and seasonings until tender. Garnish with dill and serve hot or cold.
Israeli,Israeli Specialty,"Israeli spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Israeli spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Syrian,Syrian Specialty,"Syrian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Syrian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
German,Sauerbraten,"beef roast, vinegar, water, onions, carrots, celery, garlic, bay leaves, cloves, sugar, salt, pepper, oil","Marinate beef in vinegar, water, and spices for several days. Brown and slow-cook the beef in the marinade until tender. Serve with the resulting gravy."
Latvian,Latvian Specialty,"Latvian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Latvian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Senegalese,Senegalese Specialty,"Senegalese spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Senegalese spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Laotian,Laotian Specialty,"Laotian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Laotian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
American,Classic Burger,"ground beef, hamburger buns, lettuce, tomato, cheddar cheese, onions, pickles, salt, pepper, condiments","Form ground beef into patties, season and grill to desired doneness. Assemble on a bun with fresh vegetables and condiments."
French,Ratatouille,"eggplant, zucchini, bell peppers, tomatoes, onions, garlic, olive oil, thyme, basil, salt, pepper","Slice vegetables evenly, sauté onions and garlic in olive oil, add vegetables and herbs, and simmer until tender."
Azerbaijani,Azerbaijani Specialty,"Azerbaijani spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Azerbaijani spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Romanian,Romanian Specialty,"Romanian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Romanian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Ukrainian,Ukrainian Specialty,"Ukrainian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Ukrainian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Armenian,Armenian Specialty,"Armenian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Armenian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Caribbean,Jerk Chicken,"chicken, allspice, thyme, Scotch bonnet peppers, garlic, ginger, brown sugar, lime juice, salt, pepper","Marinate chicken with a blend of spices and lime juice, then grill until charred. Serve with rice and peas."
Egyptian,Egyptian Specialty,"Egyptian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Egyptian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
French,Ratatouille,"eggplant, zucchini, bell peppers, tomatoes, onions, garlic, olive oil, thyme, basil, salt, pepper","Slice vegetables evenly, sauté onions and garlic in olive oil, add vegetables and herbs, and simmer until tender."
Uzbek,Uzbek Specialty,"Uzbek spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Uzbek spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Peranakan,Peranakan Specialty,"Peranakan spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Peranakan spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
French,Ratatouille,"eggplant, zucchini, bell peppers, tomatoes, onions, garlic, olive oil, thyme, basil, salt, pepper","Slice vegetables evenly, sauté onions and garlic in olive oil, add vegetables and herbs, and simmer until tender."
Laotian,Laotian Specialty,"Laotian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Laotian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Mediterranean,Hummus,"chickpeas, tahini, garlic, lemon juice, olive oil, salt, paprika","Blend chickpeas, tahini, garlic, and lemon juice until smooth. Drizzle with olive oil and sprinkle with paprika."
Lithuanian,Lithuanian Specialty,"Lithuanian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Lithuanian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Ethiopian,Doro Wat,"chicken, onions, garlic, ginger, berbere spice, tomato paste, hard-boiled eggs, oil, salt, pepper","Slow-cook onions until caramelized, add garlic, ginger, and berbere spice. Stir in chicken and tomato paste, then simmer and add boiled eggs."
Bulgarian,Bulgarian Specialty,"Bulgarian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Bulgarian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Mediterranean,Mediterranean Specialty,"Mediterranean spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Mediterranean spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Lebanese,Tabbouleh,"bulgur wheat, parsley, mint, tomatoes, cucumbers, lemon juice, olive oil, salt, pepper","Soak bulgur wheat until soft, then mix with finely chopped parsley, mint, tomatoes, and cucumbers. Season with lemon juice, olive oil, salt, and pepper."
Estonian,Estonian Specialty,"Estonian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Estonian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Peruvian,Peruvian Specialty,"Peruvian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Peruvian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Scandinavian,Gravlax,"salmon, salt, sugar, dill, white pepper","Cure salmon with a mixture of salt, sugar, dill, and white pepper for several days. Slice thinly and serve with mustard sauce."
Sri Lankan,Sri Lankan Specialty,"Sri Lankan spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Sri Lankan spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Laotian,Laotian Specialty,"Laotian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Laotian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Ghanaian,Ghanaian Specialty,"Ghanaian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Ghanaian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Egyptian,Koshari,"rice, lentils, pasta, chickpeas, tomato sauce, onions, garlic, vinegar, cumin, salt, pepper","Cook rice, lentils, and pasta separately. Prepare a spiced tomato sauce with onions and garlic, then layer ingredients and top with crispy fried onions."
Sri Lankan,Sri Lankan Specialty,"Sri Lankan spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Sri Lankan spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Filipino,Adobo,"chicken, vinegar, soy sauce, garlic, bay leaves, peppercorns, salt, oil","Marinate chicken in vinegar, soy sauce, garlic, and bay leaves. Brown the chicken, then simmer until tender and the sauce thickens."
Israeli,Israeli Specialty,"Israeli spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Israeli spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Middle Eastern,Falafel,"chickpeas, onions, garlic, parsley, cumin, coriander, salt, pepper, oil, tahini","Blend soaked chickpeas with onions, garlic, and herbs. Form into balls and deep-fry until golden; serve with tahini sauce."
Tanzanian,Tanzanian Specialty,"Tanzanian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Tanzanian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Armenian,Armenian Specialty,"Armenian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Armenian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Lebanese,Chicken Shawarma,"chicken, yogurt, lemon juice, garlic, cumin, coriander, paprika, turmeric, salt, pepper, pita bread","Marinate chicken in yogurt, lemon, and spices, then roast until cooked. Slice thinly and serve in pita with salad and sauce."
Swedish,Swedish Meatballs,"ground beef, ground pork, breadcrumbs, egg, onions, cream, allspice, salt, pepper, butter","Mix meats with breadcrumbs, egg, and spices. Form small meatballs, fry until browned, and serve with a creamy sauce."
Ghanaian,Ghanaian Specialty,"Ghanaian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Ghanaian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Middle Eastern,Falafel,"chickpeas, onions, garlic, parsley, cumin, coriander, salt, pepper, oil, tahini","Blend soaked chickpeas with onions, garlic, and herbs. Form into balls and deep-fry until golden; serve with tahini sauce."
Thai,Pad Thai,"rice noodles, shrimp, eggs, bean sprouts, peanuts, tamarind paste, fish sauce, garlic, lime, chili flakes, oil","Soak rice noodles until soft. Stir-fry garlic and shrimp, add eggs and noodles, then toss with tamarind sauce, bean sprouts, and peanuts. Finish with lime and chili flakes."
Mongolian,Mongolian Specialty,"Mongolian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Mongolian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
German,Bratwurst with Sauerkraut,"bratwurst, sauerkraut, onions, mustard, oil, salt, pepper",Grill bratwurst until cooked. Sauté sauerkraut with onions and serve in a bun with mustard.
Kyrgyz,Kyrgyz Specialty,"Kyrgyz spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Kyrgyz spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Cuban,Ropa Vieja,"shredded beef, bell peppers, tomatoes, onions, garlic, cumin, oregano, olive oil, salt, pepper","Slow-cook beef until tender and shred it. Sauté vegetables with spices, add beef back, and simmer until the flavors meld."
Middle Eastern,Falafel,"chickpeas, onions, garlic, parsley, cumin, coriander, salt, pepper, oil, tahini","Blend soaked chickpeas with onions, garlic, and herbs. Form into balls and deep-fry until golden; serve with tahini sauce."
Ukrainian,Borscht,"beets, cabbage, potatoes, carrots, tomatoes, onions, garlic, dill, vinegar, salt, pepper","Boil vegetables in a savory broth, add vinegar and dill, then simmer until tender. Serve hot with a dollop of sour cream."
Tajik,Tajik Specialty,"Tajik spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Tajik spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Venezuelan,Venezuelan Specialty,"Venezuelan spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Venezuelan spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Thai,Pad Thai,"rice noodles, shrimp, eggs, bean sprouts, peanuts, tamarind paste, fish sauce, garlic, lime, chili flakes, oil","Soak rice noodles until soft. Stir-fry garlic and shrimp, add eggs and noodles, then toss with tamarind sauce, bean sprouts, and peanuts. Finish with lime and chili flakes."
Estonian,Estonian Specialty,"Estonian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Estonian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Indigenous Australian,Indigenous Australian Specialty,"Indigenous Australian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Indigenous Australian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Czech,Svíčková,"beef sirloin, carrots, celery, onions, cream, vinegar, bay leaves, pepper, salt, oil",Roast beef and blend cooked vegetables into a creamy sauce. Serve sliced beef with the sauce and traditional dumplings.
Singaporean,Hainanese Chicken Rice,"chicken, rice, ginger, garlic, pandan leaves, chicken broth, cucumber, chili sauce, salt, oil","Poach chicken with ginger and pandan leaves. Cook rice in chicken broth with garlic, then serve sliced chicken over the rice with cucumber and chili sauce."
Azerbaijani,Azerbaijani Specialty,"Azerbaijani spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Azerbaijani spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Pakistani,Pakistani Specialty,"Pakistani spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Pakistani spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Kyrgyz,Kyrgyz Specialty,"Kyrgyz spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Kyrgyz spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Spanish,Paella,"rice, saffron, chicken, seafood, chorizo, bell peppers, peas, tomatoes, onions, garlic, chicken broth, olive oil, salt","Brown chicken and chorizo, then sauté onions, garlic, and peppers. Add rice with saffron-infused broth, arrange seafood and peas on top, and simmer until the rice is done."
Indian,Butter Chicken,"chicken, butter, tomato puree, heavy cream, garlic, ginger, garam masala, cumin, coriander, turmeric, chili powder, salt","Marinate chicken with yogurt and spices. Sauté garlic and ginger in butter, add tomato puree and spices, then simmer. Add chicken and cream; cook until tender."
Vietnamese,Vietnamese Specialty,"Vietnamese spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Vietnamese spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Persian,Ghormeh Sabzi,"lamb, kidney beans, spinach, parsley, cilantro, fenugreek, dried limes, onions, garlic, turmeric, oil, salt, pepper","Brown lamb with onions and garlic, add herbs, beans, and dried limes, then simmer until tender."
Russian,Russian Specialty,"Russian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Russian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Chilean,Empanadas,"flour, beef, onions, olives, raisins, hard-boiled egg, cumin, paprika, salt, pepper, oil","Prepare dough from flour and water. Cook beef with onions and spices, then fill dough rounds with the mixture, fold and bake until golden."
Uzbek,Uzbek Specialty,"Uzbek spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Uzbek spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Kyrgyz,Kyrgyz Specialty,"Kyrgyz spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Kyrgyz spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Brazilian,Feijoada,"black beans, pork, beef, sausage, onions, garlic, bay leaves, orange, salt, pepper","Soak black beans overnight. Cook with assorted meats, onions, garlic, and spices until thick and flavorful. Garnish with orange slices."
Peruvian,Ceviche,"fish, lime juice, red onions, cilantro, chili, salt, sweet potato, corn","Marinate diced fish in lime juice until opaque. Mix with thinly sliced onions, cilantro, and chili, then serve with sweet potato and corn."
Ukrainian,Borscht,"beets, cabbage, potatoes, carrots, tomatoes, onions, garlic, dill, vinegar, salt, pepper","Boil vegetables in a savory broth, add vinegar and dill, then simmer until tender. Serve hot with a dollop of sour cream."
Syrian,Syrian Specialty,"Syrian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Syrian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Swiss,Fondue,"Gruyère cheese, Emmental cheese, white wine, garlic, cornstarch, kirsch, bread, salt, pepper","Melt cheeses with white wine and garlic, then stir in cornstarch mixed with kirsch. Serve with cubes of bread for dipping."
Filipino,Adobo,"chicken, vinegar, soy sauce, garlic, bay leaves, peppercorns, salt, oil","Marinate chicken in vinegar, soy sauce, garlic, and bay leaves. Brown the chicken, then simmer until tender and the sauce thickens."
Thai,Pad Thai,"rice noodles, shrimp, eggs, bean sprouts, peanuts, tamarind paste, fish sauce, garlic, lime, chili flakes, oil","Soak rice noodles until soft. Stir-fry garlic and shrimp, add eggs and noodles, then toss with tamarind sauce, bean sprouts, and peanuts. Finish with lime and chili flakes."
Mexican,Tacos al Pastor,"pork, pineapple, chili peppers, achiote paste, garlic, onions, cilantro, lime, corn tortillas, salt","Marinate pork in achiote, chili, and spices. Roast with pineapple, then serve on warmed tortillas with onions, cilantro, and lime."
Ethiopian,Doro Wat,"chicken, onions, garlic, ginger, berbere spice, tomato paste, hard-boiled eggs, oil, salt, pepper","Slow-cook onions until caramelized, add garlic, ginger, and berbere spice. Stir in chicken and tomato paste, then simmer and add boiled eggs."
Saudi Arabian,Kabsa,"chicken, rice, tomatoes, onions, garlic, spices, raisins, almonds, salt, pepper, oil","Cook chicken with spices and tomatoes, layer rice over the chicken with raisins and almonds, then simmer until the rice is cooked."
Saudi Arabian,Kabsa,"chicken, rice, tomatoes, onions, garlic, spices, raisins, almonds, salt, pepper, oil","Cook chicken with spices and tomatoes, layer rice over the chicken with raisins and almonds, then simmer until the rice is cooked."
Swiss,Fondue,"Gruyère cheese, Emmental cheese, white wine, garlic, cornstarch, kirsch, bread, salt, pepper","Melt cheeses with white wine and garlic, then stir in cornstarch mixed with kirsch. Serve with cubes of bread for dipping."
Kazakh,Kazakh Specialty,"Kazakh spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Kazakh spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Spanish,Spanish Specialty,"Spanish spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Spanish spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Irish,Irish Specialty,"Irish spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Irish spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
